"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV33863","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",,
"ASV33864","Bacteria","Omnitrophicaeota",,,,,
"ASV33865","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",,,
"ASV33866","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",,
"ASV33867","Bacteria","Patescibacteria","Parcubacteria","UBA9983",,,
"ASV33868","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",
"ASV33869","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33870","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae",,
"ASV33871","Archaea","Diapherotrites","Iainarchaeia","Iainarchaeales",,,
"ASV33872","Bacteria","Dependentiae","Babeliae","Babeliales",,,
"ASV33873","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus",
"ASV33874","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",
"ASV33875","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tibeticola",
"ASV33876","Bacteria","Proteobacteria",,,,,
"ASV33877","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Vogelbacteria",,,
"ASV33878","Bacteria","GAL15",,,,,
"ASV33879","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria",,,
"ASV33880","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","DTU089",
"ASV33881","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",,
"ASV33882","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",
"ASV33883","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",
"ASV33884","Bacteria",,,,,,
"ASV33885","Bacteria",,,,,,
"ASV33886","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae",,
"ASV33887","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",,
"ASV33888","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",
"ASV33889","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33890","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",,
"ASV33891","Bacteria","Cyanobacteria","Melainabacteria","Vampirovibrionales",,,
"ASV33892","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-004",
"ASV33893","Bacteria","Omnitrophicaeota",,,,,
"ASV33894","Bacteria","Verrucomicrobia","Verrucomicrobiae",,,,
"ASV33895","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae",,
"ASV33896","Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria",,,
"ASV33897","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",,,
"ASV33898","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales",,,
"ASV33899","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33900","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae",,
"ASV33901","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",
"ASV33902","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-003",
"ASV33903","Bacteria",,,,,,
"ASV33904","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",,
"ASV33905","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Acetoanaerobium",
"ASV33906","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",,
"ASV33907","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","Ga0074140",
"ASV33908","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",,
"ASV33909","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",
"ASV33910","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",
"ASV33911","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV33912","Bacteria","Patescibacteria","Parcubacteria",,,,
"ASV33913","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)",,,
"ASV33914","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",
"ASV33915","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","01D2Z36",,
"ASV33916","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",
"ASV33917","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria",,,
"ASV33918","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Lacihabitans",
"ASV33919","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",,,
"ASV33920","Bacteria","Patescibacteria","Gracilibacteria",,,,
"ASV33921","Bacteria","Patescibacteria","Berkelbacteria",,,,
