ASV,SeqID
ASV6069,GFU6RAN02JXV2Z_cs_nbp_rc
ASV6193,GEZPXXX01DB98U_cs_nbp_rc
ASV6211,F7JWPPP02IL88G_cs_nbp_rc
ASV6289,GFAVKPA02EF2QK_cs_nbp_rc
ASV6341,GFU6RAN02HNFBE_cs_nbp_rc
ASV6462,GDGDDZP02GEKI2_cs_nbp_rc
ASV6602,F47543201B4TF2_cs_nbp_rc
ASV6639,F7JWPPP02IHSN8_cs_nbp_rc
ASV6687,F5K51YR02EIW8E_cs_nbp_rc
ASV6690,GCE7VNM02H36AB_cs_nbp_rc
ASV6708,GGBO4VW01DNUOP_cs_nbp_rc
ASV6946,GCKVOD102FJBHG_cs_nbp_rc
ASV6963,GJKK7LC01C724N_cs_nbp_rc
ASV7136,GDGDDZP02GK97S_cs_nbp_rc
ASV7161,GDGDDZP02JD30D_cs_nbp_rc
ASV7235,GCKVOD102FP039_cs_nbp_rc
ASV7236,GD4KK7401CYFWI_cs_nbp_rc
ASV7289,F5K51YR02DNGNC_cs_nbp_rc
ASV7290,GEZPXXX02J04IA_cs_nbp_rc
ASV7509,GER5HLA02G8GKI_cs_nbp_rc
ASV7529,GESGHXH01D1Y0F_cs_nbp_rc
ASV7555,GESGWO201ESLJY_cs_nbp_rc
ASV7787,F7JWPPP02GSSXA_cs_nbp_rc
ASV8026,F47543201ATQWH_cs_nbp_rc
ASV8036,GF0SLGH01AOPAC_cs_nbp_rc
ASV8116,GFNMF7A02F1M80_cs_nbp_rc
ASV8124,F47543201A4VYV_cs_nbp_rc
ASV8405,F47543201DJI6B_cs_nbp_rc
ASV8422,F5K51YR02DDMWV_cs_nbp_rc
ASV8426,GFNV2OR01ALWBM_cs_nbp_rc
ASV8692,GB527Y402F408O_cs_nbp_rc
ASV9084,GJKK7LC01C32VO_cs_nbp_rc
ASV9090,GER5HLA01C35ZI_cs_nbp_rc
ASV9644,GCE7VNM02HAVUZ_cs_nbp_rc
ASV9649,GJOFGG302H6Q4F_cs_nbp_rc
ASV9657,F47543201BC5L6_cs_nbp_rc
ASV9745,GB527Y402I38GW_cs_nbp_rc
ASV9953,GFTD7SK01EJRVH_cs_nbp_rc
ASV10314,F5MMO9001EUDQU_cs_nbp_rc
ASV10340,GESGWO201ES699_cs_nbp_rc
